数据库：分省年度数据
指标：互联网宽带接入用户(万户)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,480.4,473.7,510.8,,,,,,,
天津市,188.4,204.8,186.7,,,,,,,
河北省,1031.6,963.9,824.5,,,,,,,
山西省,521.3,504.8,416.1,,,,,,,
内蒙古自治区,284.4,274.8,231.0,,,,,,,
辽宁省,726.9,707.9,655.1,,,,,,,
吉林省,379.6,364.6,307.4,,,,,,,
黑龙江省,459.6,435.8,385.4,,,,,,,
上海市,511.1,541.0,493.5,,,,,,,
江苏省,1431.3,1350.7,1171.0,,,,,,,
浙江省,1242.7,1152.6,1019.7,,,,,,,
安徽省,546.8,507.0,432.6,,,,,,,
福建省,835.6,738.0,605.2,,,,,,,
江西省,410.1,372.0,313.0,,,,,,,
山东省,1465.1,1364.1,1154.1,,,,,,,
河南省,1000.5,927.6,784.5,,,,,,,
湖北省,813.3,708.0,580.1,,,,,,,
湖南省,702.4,604.4,483.1,,,,,,,
广东省,2081.7,1903.6,1643.9,,,,,,,
广西壮族自治区,559.6,507.1,414.8,,,,,,,
海南省,110.9,95.5,80.4,,,,,,,
重庆市,438.8,388.1,319.9,,,,,,,
四川省,835.2,823.0,668.4,,,,,,,
贵州省,292.4,243.9,204.8,,,,,,,
云南省,404.7,375.5,298.0,,,,,,,
西藏自治区,19.1,17.1,12.8,,,,,,,
陕西省,506.2,439.6,369.8,,,,,,,
甘肃省,192.2,163.3,133.6,,,,,,,
青海省,54.9,49.9,41.6,,,,,,,
宁夏回族自治区,71.1,60.9,52.2,,,,,,,
新疆维吾尔自治区,293.0,255.0,206.1,,,,,,,

数据来源：国家统计局

注：
