数据库：分省年度数据
指标：人均地区生产总值(元/人)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,93213,87475,81658,73856,66940,64491,60096,51722,45993,40916
天津市,99607,93173,85213,72994,62574,58656,47970,42141,37796,30575
河北省,38716,36584,33969,28668,24581,22986,19662,16682,14659,12487
山西省,34813,33628,31357,26283,21522,21506,17805,14497,12647,10741
内蒙古自治区,67498,63886,57974,47347,39735,34869,26521,20523,16285,12728
辽宁省,61686,56649,50760,42355,35149,31739,26057,21914,19074,15835
吉林省,47191,43415,38460,31599,26595,23521,19383,15720,13348,11537
黑龙江省,37509,35711,32819,27076,22447,21740,18580,16255,14440,12449
上海市,90092,85373,82560,76074,69164,66932,62041,54858,49649,44839
江苏省,74607,68347,62290,52840,44253,40014,33837,28526,24616,20031
浙江省,68462,63374,59249,51711,43842,41405,36676,31241,27062,23817
安徽省,31684,28792,25659,20888,16408,14448,12039,9996,8631,7681
福建省,57856,52763,47377,40025,33437,29755,25582,21105,18353,16235
江西省,31771,28800,26150,21253,17335,15900,13322,11145,9440,8097
山东省,56323,51768,47335,41106,35894,32936,27604,23603,19934,16413
河南省,34174,31499,28661,24446,20597,19181,16012,13172,11346,9201
湖北省,42613,38572,34197,27906,22677,19858,16386,13360,11554,9898
湖南省,36763,33480,29880,24719,20428,18147,14869,12139,10562,9165
广东省,58540,54095,50807,44736,39436,37638,33272,28534,24647,20876
广西壮族自治区,30588,27952,25326,20219,16045,14652,12277,10121,8590,7461
海南省,35317,32377,28898,23831,19254,17691,14923,12810,11165,10067
重庆市,42795,38914,34500,27596,22920,20490,16629,13939,12404,10845
四川省,32454,29608,26133,21182,17339,15495,12963,10613,9060,7895
贵州省,22922,19710,16413,13119,10971,9855,7878,6305,5394,4317
云南省,25083,22195,19265,15752,13539,12570,10609,8929,7809,7012
西藏自治区,26068,22936,20077,17319,15295,13824,12083,10422,9036,8103
陕西省,42692,38564,33464,27133,21947,19700,15546,12840,10674,8638
甘肃省,24296,21978,19595,16113,13269,12421,10614,8945,7477,6566
青海省,36510,33181,29522,24115,19454,18421,14507,11889,10045,8693
宁夏回族自治区,39420,36394,33043,26860,21777,19609,15142,12099,10349,9199
新疆维吾尔自治区,37181,33796,30087,25034,19942,19797,16999,15000,13108,11337

数据来源：国家统计局

注：
2004年及以后年份地区生产总值数据执行《国民经济行业分类》（GB/T4754-2002）,2004年以前地区生产总值数据执行《国民经济行业分类》（GB/T4754-1994）。
